Mat File/Subject,Accuracy on Training Set (no CSP),Accuracy on Testing Set (no CSP),Accuracy on Training Set (with CSP),Accuracy on Testing Set (with CSP)
CLASubjectA1601083StLRHand.mat,100,54.94505495,100,80.21978022
CLASubjectB1510193StLRHand.mat,74.03189066,52.38095238,100,87.3015873
CLASubjectB1510203StLRHand.mat,99.08883827,51.85185185,100,86.24338624
CLASubjectB1512153StLRHand.mat,100,59.25925926,100,71.42857143
CLASubjectC1511263StLRHand.mat,100,67.72486772,100,81.48148148
CLASubjectC1512163StLRHand.mat,100,58.73015873,100,84.65608466
CLASubjectC1512233StLRHand.mat,100,61.37566138,100,83.5978836
CLASubjectD1511253StLRHand.mat,100,51.06382979,100,78.72340426
CLASubjectE1512253StLRHand.mat,100,64.02116402,100,84.12698413
CLASubjectE1601193StLRHand.mat,100,56.61375661,100,85.18518519
CLASubjectE1601223StLRHand.mat,100,65.95744681,100,90.42553191
CLASubjectF1509163StLRHand.mat,97.00149925,55.05226481,100,91.63763066
CLASubjectF1509173StLRHand.mat,96.72897196,50.54347826,100,91.30434783
CLASubjectF1509283StLRHand.mat,97.74266366,52.35602094,100,87.43455497
,,,,
All Subjects (Mean),97.47099027,57.27684054,100,84.55474385